visit_date,restaurant_name,cuisine_type,music_tag,michelin_tag,city,google_maps_link,notes,hearts,photo_files,cover_photo,lat,lng,arrondissement
2025-08-14,Tanguera,"Argentinian, Peruvian",,,Paris,https://maps.app.goo.gl/3ofi9jodNmNUK6gB9,Great food,3,previews/IMG_7715.jpg|previews/IMG_7719.jpg,previews/IMG_7715.jpg,48.8532444,2.3908357,Paris 11th
2025-09-13,Chez Papa Jazz,French,Jazz,,Paris,https://share.google/WKMX4ucHZeuhZNTIF,,3,previews/IMG_3413.jpg|previews/IMG_3418.jpg|previews/92d3ef3b-a6c0-48a4-abc9-149740fcb08e.jpg,previews/IMG_3413.jpg,48.8553350,2.3334336,Paris 6th
2025-11-07, L’Armateur,French,,,Saint-Malo,https://maps.app.goo.gl/SFLe4yfnqFUB18g67,Tasty meals and friendly staff,3,previews/IMG_8405.jpg|previews/IMG_8409.jpg|previews/IMG_6239.jpg,previews/IMG_8405.jpg,48.648363,-2.024278,Saint-Malo
2025-11-08,Crêperie Le Corps de Garde,French,,,Saint-Malo,https://share.google/KxmYO4F2WYwRR5hp8,,,previews/IMG_8422.jpg,previews/IMG_8422.jpg,48.6490859,-2.0282552,Saint-Malo
2025-11-08,Méson Chalut,French,,Green Star,Saint-Malo,https://share.google/sXsfUdT5bWCtuqLyP,"Michelin guide, green star. Very tasty",3,previews/IMG_6374.jpg|previews/IMG_6368.jpg|previews/IMG_6369.jpg|previews/IMG_6377.jpg,previews/IMG_6368.jpg,48.650421,-2.024831,Saint-Malo
2025-11-18,Ayahuma Restaurant,Ecuadorian,,,Paris,https://maps.app.goo.gl/oC8rhP3RJJSBX5mU7,"Very tasty, with friendly staff",3,previews/IMG_8463.jpg|previews/IMG_8460.jpg|previews/IMG_8467.jpg|previews/IMG_6891.jpg|previews/IMG_6894.jpg|previews/IMG_6895.jpg,previews/IMG_8460.jpg,48.857332,2.385047,Paris 11th
2025-11-22,Fuwa Fuwa,Japanese,,,Paris,https://share.google/sKNwQSKFzCH1S7rIU,Nice fluffy pancakes,,previews/IMG_6973.jpg,previews/IMG_6973.jpg,48.865607,2.333841,Paris 1st
2025-11-24,Donburi Ramen,Japanese,,,Paris,https://share.google/dxxvF9vJUbSbcsoZJ,Very good ramen,1,previews/IMG_8482.jpg,previews/IMG_8482.jpg,48.8577429,2.3794183,Paris 11th
2026-01-11,Big Love,Italian,,,Paris,https://share.google/NELn0DEhUj5pzFI4J,Not as good as it used to be,,previews/IMG_8837.jpg|previews/IMG_8685.jpg,previews/IMG_8837.jpg,48.8620277,2.3635857,Paris 3rd
2026-01-14,Artisan de la Truffe,Italian,,,Paris,https://share.google/Ep6JSafWFVdhSPXd4,Really good risotto,1,previews/IMG_8931.jpg,previews/IMG_8931.jpg,48.860675,2.354811,Paris 4th
